ID,PosX,PosY,PosZ,RotX,RotY,Rotz,ScaleX,ScaleY,ScaleZ
Sango (5),1.894098,-10.06,8.648611,0,0,0,1,1,1
Wall (18),-6.893,1.1519,-16.021,0,0,0,34.48182,1.303707,0.9073199
Wall (17),-24.583,1.1519,-7.777,0,0,0,0.894994,1.303707,17.39482
Wall (16),10.792,1.1516,-7.864,0,0,0,0.894994,1.303707,17.20792
Wall (15),-24.583,1.1519,9.776,0,0,0,0.894994,1.303707,16.71282
Wall (14),10.792,1.1516,9.7027,0,0,0,0.894994,1.303707,16.92606
Wall (13),-6.834,-7.9785,-3.9283,0,0,0,18.90645,1.303707,1.028087
Wall (12),3.0913,-7.9785,0.3928,0,0,0,0.8949949,1.303706,9.670629
Wall (11),-16.735,-7.9785,0.393,0,0,0,0.8949949,1.303706,9.670629
Wall (10),-11.205,-10.108,12.216,0,0,0,0.8949944,1.303706,11.93842
Wall (9),-2.0844,-10.108,12.23,0,0,0,1.115051,1.303706,11.91149
Wall (8),8.197,-10.108,12.151,0,0,0,1.115052,1.303706,11.83779
Wall (7),-3.739,-10.108,5.7521,0,0,0,24.98705,1.303707,0.9590946
SwitchRed,-0.11,-10.9,13.79,0,0,0,1,0.5,1
SwitchYellow,1.050896,0.35,15.48,0,0,0,1,0.5,1
Iron (1),5.420711,-10.34,7.443087,0,0,0,1,1,1
SwitchBlue (1),-19.48642,0.35,15.42078,0,0,0,1,0.5,1
Iron,-14.51,-10,8.04,0,0,0,1,1,1
SwitchYellow (1),-20.97723,-10.9,8.62,0,0,0,1,0.5,1
Sango (4),-18.77,-10.29,8.68844,0,0,0,1,1,1
Wall (6),-20.021,-10.108,5.752,0,0,0,5.720182,1.303707,0.9590946
BreakWall,-20.024,-9.0801,12.009,0,0,0,5.715463,3.359547,1
Wall (5),-23.329,-10.108,11.689,0,0,0,0.8949944,1.303706,12.83215
Sango (3),-9.69,-7.540999,1.27,0,0,0,1,1,1
Dash,-2.32,-7.881,0.34,0,0,0,1,1,1
Cube (7),-17.267,-11.26,11.729,0,0,0,13.01961,0.9999993,12.91271
Wall (4),-16.68,-10.108,8.891,0,0,0,0.8949946,1.303706,7.236952
NewMoveGround (4),-11.669,-13,20.52,0,0,0,0.7324541,0.9999997,4.484761,0,15,0,6.2
Sango (2),-21.16,1.53,13.38524,0,0,0,1,1,1
Cube (5),-6.822,-9.62,0.415,0,0,0,20.72162,1.979306,9.715026
NewMoveGround (3),-19.441,-13,20.52,0,0,0,0.7324541,0.9999997,4.484761,0,15,0,6.2
NewMoveGround (2),6.5506,-13,20.52,0,0,0,0.7324541,0.9999997,4.484761,0,15,0,6.2
NewMoveGround (1),-6.445,-13,23.262,0,0,0,26.72364,1,1,0,15,0,6.2
NewMoveGround,-6.452,-14,20.972,0,0,0,26.6561,0.9999996,5.580747,0,15,0,6.2
Cube (4),3.073,-11.26,11.729,0,0,0,11.42978,0.9999993,12.91271
Sango (1),-7.4,1.53,13.38524,0,0,0,1,1,1
Wall (3),-2.355,1.1516,8.7209,0,0,0,1.274583,1.303707,18.98425
Wall (2),-11.485,1.1519,8.806,0,0,0,1.263171,1.303707,18.75475
DoorBlue (1),-13.871,1.3413,1.0656,0,0,0,3.508147,1.682527,0.7087325
DoorRed,-0.264,1.341,1.094,0,0,0,2.906388,1.682527,0.7087325
Wall (1),-20.328,1.1519,1.17,0,0,0,9.405981,1.303709,0.5
Wall,6.214,1.1516,0.98963,0,0,0,10.05042,1.303709,0.5
DoorYellow,-6.942,0.026,1.272,0,0,0,7.694612,0.9466367,3.917326
Cube (3),-6.884,0,10.776,0,0,0,36.29197,0.9999993,14.8107
Cube (2),-17.98,0,1.2929,0,0,0,14.1012,0.9999995,4.155028
Cube (1),4.187,0,1.293,0,0,0,14.15138,0.9999995,4.155028
Cube,-6.884,0,-8.615,0,0,0,36.29198,0.9999993,15.66095
Sango,5.524554,1.53,13.38524,0,0,0,1,1,1
Slope,-13.38,2.754,-8.1,-2.988208E-06,21.00986,335.0095,12.25511,0.469577,4.823151
Temp,2.21,1.72,-11.01,0,0,0,1,1,1
Slope (1),-18.3,4.181,-1.36,-2.049057E-05,88.98154,341.4117,9.920007,0.469577,4.823151
Player,2.23,1.36,-10.92,0,0,0,1,1,1
DeadZone,-8,-16.4,-1.35,0,0,0,163.7774,0.9999984,132.8022
