ID,PosX,PosY,PosZ,RotX,RotY,Rotz,ScaleX,ScaleY,ScaleZ
DeadZone (2),-1.9,1.45,12.3,0.9062543,0,0,35.82006,0.9999979,62.56271
DeadZone (1),-1.9,1.45,12.3,0.9062543,0,0,35.82006,0.9999979,62.56271
Cube (3),-2.46,2.78,24.263,0,0,0,10.9449,1.499999,30.12512
Cube (2),-2.6,2.78,6.301,0,0,0,14.14668,1.5,5.800406
Cube (1),-2.709,2.78,-0.149,0,0,0,5.95481,1.5,7.099768
Cube (1),-2.526748,2.78,-7.929859,0,0,0,14.18109,1.5,8.460328
Wall (15),-2.412748,3.171,39.05214,0,0,0,10.73571,2.269654,0.3372785
Wall (14),2.88,3.171,24.14314,0,0,0,0.2506984,2.269653,30.13345
Wall (13),-7.712748,3.171,24.15614,0,0,0,0.2506984,2.269653,30.13345
Wall (12),-8.646,3.171,8.942141,0,0,0,1.950234,2.269654,0.3372785
Wall (11),3.575,3.171,8.942141,0,0,0,1.67814,2.269654,0.3372785
Wall (10),4.277252,3.171,6.259141,0,0,0,0.2506977,2.269654,5.617319
Wall (9),-9.48,3.171,6.260141,0,0,0,0.2506977,2.269654,5.433462
Wall (8),-7.488,3.171,3.712141,0,0,0,4.265939,2.269654,0.3372785
Wall (7),2.231,3.171,3.712141,0,0,0,4.366474,2.269654,0.3372785
Wall (6),0.1199999,3.171,-0.2148592,0,0,0,0.2506979,2.269654,7.643818
Wall (5),-5.47,3.171,-0.2008592,0,0,0,0.2506979,2.269654,7.61488
Wall (4),-7.386747,3.171,-3.877859,0,0,0,4.229588,2.269654,0.3372785
Wall (3),2.231,3.171,-3.877859,0,0,0,4.366474,2.269654,0.3372785
Wall (2),-2.543748,3.171,-11.97986,0,0,0,13.91588,2.269654,0.3372785
Wall (1),4.421252,3.171,-7.936859,0,0,0,0.2473549,2.269654,8.326943
Wall,-9.412747,3.171,-7.936859,0,0,0,0.247355,2.269654,8.326944
Sango (2),-2.63,4.05,-0.69,0,0,0,1,1,1
BreakWall,-2.02,5.16,27.47,0,0,0,12.22349,3.929243,1
Player,-2.58,5.34,-9.396077,0,0,0,1,1,1
Temp,-2.55,6.23,-9.453923,0,100.9254,0,1,1,1
DeadZone,-1.9,1.45,12.3,0.9062543,0,0,35.82006,0.9999979,62.56271
Dash,-2.29,4.59,11.01,0,0,0,1,1,1
Sango (1),-2.05,4.4,37.08,0,0,0,1,1,1
