ID,PosX,PosY,PosZ,RotX,RotY,Rotz,ScaleX,ScaleY,ScaleZ
Wall (12),4.47,4.29,-0.16,0,0,0,3,1,0.5
Sango (1),-12.91,6.09,17.44,0,0,0,1,1,1
Wall (3),-9.01,6.09,14.12,0,0,0,0.5,1,10
Wall (1),-16.51,6.09,14.12,0,0,0,0.5,1,10
Wall,-12.76,6.09,18.87,0,0,0,8,1,0.5
Cube (2),-12.76,3.09,14.12,0,0,0,8,5,10
Wall (11),-8.53,4.29,-9.659999,0,0,0,3,1,0.5
Slope (1),-12.86,4.74,-1.209999,339.5519,0,0,5,0.5,7
Wall (10),-12.03,4.29,-0.1599989,0,0,0,14,1,0.5
Slope,-1.1,1.6889,2.289001,34.23359,0,0,8,1,6
Wall (8),-1.251999,4.09,-29.019,0,0,0,9,1,1
Wall (7),-5.2521,4.09,-24.519,0,0,0,1,1,10
Wall (6),2.7479,4.09,-24.519,0,0,0,1,1,10
Sango,-6.29,4.29,-5.96,0,0,0,1,1,1
Wall (5),-18.78,4.29,-4.909999,0,0,0,0.5,1,10
Wall (4),-14.53,4.29,-9.659999,0,0,0,9,1,0.5
Wall (2),5.72,4.29,-4.909999,0,0,0,0.5,1,10
Cube (1),-6.529968,2.29,-4.909999,0,0,0,25,3,10
Spin,-1.5,4.09,-21.38,0,0,0,1,1,1
Temp,-1.14,4.75,-27.31,0,0,0,1,1,1
Player,-1.152085,4.78,-27.28,0,0,0,1,1,1
Cube,-1.252085,2.09,-24.519,0,0,0,9,3,10
DeadZone,0,0,0,0,0,0,50,1,70
