ID,PosX,PosY,PosZ,RotX,RotY,Rotz,ScaleX,ScaleY,ScaleZ
Cube,0,0,31.404,0,0,0,14.20626,0.9999999,13.06569
Wall (1),6.8806,1.1765,3.582,0,0,0,0.4450749,1.352952,19.94399
Wall (7),4.487,5.1881,31.94,0,0,0,17.06143,1.352952,0.4373243
Wall (3),-2.8202,5.1881,22.911,0,0,0,6.264568,1.352952,0.4373243
Sango (3),-10.69,1.42,34.79,0,0,0,1,1,1
Cube (6),0,0,3.599,0,0,0,14.20623,0.9999999,20.97557
Wall (5),-12.875,5.1882,24.834,0,0,0,0.6456878,1.352949,14.11634
Slope (1),4.24,2.3972,26.745,28.637,0,0,4.770475,0.2466572,8.371889
BreakWall (1),-3.355,6.2723,25.94,0,0,0,5.812013,3.521317,0.4744003
Sango (2),-10.04,5.01,29.15,0,0,0,1,1,1
Cube (3),9.897,4.309,27.644,0,0,0,6.245426,0.4053268,9.028816
Sango (1),-10.92,5.011663,39.07555,0,0,0,1,1,1
Wall (17),-10.075,1.1765,37.687,0,0,0,5.942868,1.352955,0.5
Wall (6),7.118,5.1885,25.11,0,0,0,0.6456879,1.352949,4.837565
Wall,-0.01079973,1.1765,-6.6395,0,0,0,14.22785,1.352955,0.5
Wall (20),-0.010811,1.1765,13.837,0,0,0,14.22785,1.352955,0.5
Temp,0.2633324,3.739809,-4.11,0,0,0,1,1,1
Wall (18),-9.869,1.1595,30.806,0,0,0,6.378691,1.318888,0.5
Slope,-0.12,2.398,14.16,331.3628,0,0,4.770475,0.2466572,8.371889
Wall (14),-0.4018002,5.1881,38.912,0,0,0,0.4677684,1.35295,4.86197
InvisibleWall,17.8,6.278,19.936,0,0,0,0.9999983,16.75686,59.5075
Wall (4),-9.396,5.1881,25.959,0,0,0,6.270417,1.352952,0.4373243
Wall (19),-12.791,1.1595,34.244,0,0,0,0.5110896,1.318886,6.387101
InvisibleWall (2),0.289,6.278,48.638,0,0,0,38.53843,16.75686,1.997162
InvisibleWall (3),0.289,6.278,-10.18,0,0,0,38.53845,16.75686,0.8171682
Wall (10),-6.902,1.1765,27.965,0,0,0,0.4450749,1.352952,5.182032
DeadZone,-0.31,-2.1,20.03,0,0,0,38.23277,0.9999999,59.06012
Wall (11),0.010825,1.1765,37.625,0,0,0,14.22785,1.352955,0.5
Cube (5),-10.09,0,34.222,0,0,0,5.974403,0.9999994,7.306109
InvisibleWall (4),-0.797,12.654,19.304,0,0,0,36.36578,4.009134,59.78872
Wall (13),-3.8169,5.1881,36.251,0,0,0,7.321016,1.352952,0.4629973
InvisibleWall (1),-18.48,6.278,19.911,0,0,0,0.9999983,16.75686,59.45649
Spin,2.87278,5.011663,20.48533,0,0,0,1,1,1
Cube (4),-6.3999,4.309,38.9,0,0,0,12.48779,0.4053268,5.760971
Dash,0.3861876,1.11,0.3596493,0,0,0,1,1,1
Cube (2),-6.443,4.309,27.549,0,0,0,13.51025,0.4053268,8.837986
Cube (1),-0.089,4.309,20.452,0,0,0,26.21726,0.4053268,5.355263
Sango,-3.02,5.011663,20.53,0,0,0,1,1,1
Wall (9),6.9022,1.1765,31.368,0,0,0,0.4450749,1.352952,11.9949
Player,0.09256124,3.22,-4.086439,0,0,0,1,1,1
Wall (16),-0.010718,5.1881,24.654,0,0,0,0.6456879,1.352949,3.047721
Wall (15),-12.41,5.1881,38.764,0,0,0,0.4677684,1.35295,5.158947
Wall (21),0.010798,1.1765,25.121,0,0,0,14.22785,1.352955,0.5
BreakWall,-0.028,3.08,6.68,0,0,0,13.12871,4.847045,1
Wall (8),12.697,5.1881,24.803,0,0,0,0.6456878,1.352949,13.83635
Wall (2),-6.9022,1.1765,3.596,0,0,0,0.4450749,1.352952,19.97083
Wall (12),-6.4059,5.1881,41.562,0,0,0,12.47597,1.352952,0.4373243
