ID,PosX,PosY,PosZ,RotX,RotY,Rotz,ScaleX,ScaleY,ScaleZ
DeadZone (10),-0.01635742,-4.431812,-13.9192,0,0,0,34.72214,3.558288,91.15705
NewMoveGround (4),-56.112,-14.31,262.027,0,0,0,5.341982,1,7.389612,0,14,0,6
Temp,0.05000019,2.15,-108.22,0,0,0,1,1,1
BreakWall (9),-0.3669996,3.091,161.3,0,0,0,14.93059,4.740935,1
Slope (3),28.61,-19.322,229.468,21.78522,0,0,5.475463,0.4801501,3.441384
DoorYellow (1),0.03229523,0.0001869202,-19.8831,0,0,0,14.62116,1,8.731534
NewMoveGround (1),-2.187,-19.871,261.9,0,0,0,8.327188,1,1,0,4,-11,1.2
DeadZone (1),24.89,-17.52,250.323,0,0,0,1.000003,4.670147,40.85538
Cube (10),-0.05558968,0.0001869202,-11.5392,0,0,0,14.44556,1,7.90934
DeadZone (2),32.19,-17.52,250.323,0,0,0,1.000003,4.670147,40.85538
NewMoveGround (12),30.049,-18.8,240.54,0,0,0,2.549971,1,1,0,0,-5,1
Cube (19),29.64,-18.96,221.49,0,0,0,5.761523,0.9999996,4.31279
Temp,-2.61,-16.35,292.71,0,0,0,1,1,1
CheckPoint,-0.03,-3.54,212.05,0,0,0,3.324837,0.9999999,2.052979
SwitchBlue (1),0.3472233,0.4,-46.6741,0,0,0,1,1,1
Iron (2),29.76,-17.96,225.6907,0,0,0,1,1,1
Sango (8),-2.047955,-17.96,230.04,0,0,0,1,1,1
Wall,-7.59,4.25,23.83,0,0,0,0.7053433,8.657044,282.0499
Cube (12),-2.09,-18.96,240.83,0,0,0,8.756377,1,12.5673
Cube (18),-1.508,-10.47,274.401,0,0,0,10.80014,0.9999999,15.78933
Spin,28.48,-15.93,273.93,0,0,0,1,1,1
Ballon,-3.793444,-16.066,275.06,0,0,0,1,1,1
Cube (6),0.000295639,0.0001869202,-64.0771,0,0,0,14.44553,1,18.50311
Slope,-7.791201,2.09,169.54,343.3969,0,0,1,1,21.11133
DoorYellow,13.497,-16.131,253.91,0,0,0,11.32113,4.657997,1
Sango (7),-2.691738,-16.516,296.1826,0,0,0,1,1,1
Sango (9),-2.715133,-9.47,280.4892,0,0,0,1,1,1
BreakWall (8),-0.3669996,3.091,157.2,0,0,0,14.93059,4.740935,1
Wall (5),32.088,-18.934,273.662,0,0,0,0.7427122,1.353942,5.702763
Cube (10),-0.23,-18.96,216.43,0,0,0,28.62408,0.9999999,36.22625
NewMoveGround (9),23.99,-18.054,266.619,0,0,0,1.000001,3.082973,4.092459,9,0,0,1
DoorRed,-0.02000046,2.334,-89.34921,0,0,0,14.95967,3.667598,1
Slope (2),-13.22,-5.62,260.292,0,0,22.61637,6.882147,0.3292915,8.004152
Wall (15),1.5487,-3.737,214.245,0,0,0,0.7010839,1.606849,8.168666
Ballon,-0.25,1.17,13.46482,0,0,0,1,1,1
SwitchBlue,14.20411,-18.6,257.9799,0,0,0,1,1,1
Cube (1),0,-0.001811981,-108.2992,0,0,0,14.44548,0.9999999,16.18326
SwitchRed,25.21,-18.6,225.9049,0,0,0,1,1,1
DeadZone,-2.59,-18.999,98.33,0,0,0,147.3824,1.192328,159.8798
DeadZone (9),-0.01635742,-4.431812,-92.64,0,0,0,34.72211,3.558288,66.30525
Wall (12),7.641,-3.7366,210.57,0,0,0,11.48361,1.606855,0.5
DeadZone (11),-3.896705,-19.93181,253.6808,0,0,0,155.9122,0.6729831,150.8302
Cube (8),-45.86,-1.86,260.951,0,0,0,15.15752,0.5107589,6.744123
NewMoveGround (6),-56.112,-13.31,265.321,0,0,0,5.341984,1,0.8008441,0,14,0,6
Sango (6),-54.60488,-18.56716,233.3808,0,0,0,1,1,1
Dash (1),-45.9,-17.78,267.39,0,0,0,1,1,1
Cube (2),-31.2,-19.64,249.713,0,0,0,5.989589,0.9999995,30.48743
Cube (21),-0.016517,-5.04,215.827,0,0,0,3.831421,1,10.31031
Wall (2),-62.316,-18.608,234.29,0,0,0,5.812645,0.91992,0.5
Cube (13),-2.5,-17.516,282.411,0,0,0,8.756396,0.9999999,32.92791
Cube (14),-2.34,-10.19,291.87,0,0,0,8.756389,0.9999999,14.75604
Wall (9),-0.19264,-3.7366,189.4,0,0,0,28.5518,1.606855,0.5
Cube,-0.05558968,0.0001869202,-28.3131,0,0,0,14.44556,1,7.909343
DoorBlue,-0.01970482,3.307186,-79.44267,0,0,0,14.69054,5.454056,1
Wall (1),1.584,-13.923,282.269,0,0,0,0.5878923,6.185854,32.31408
SwitchYellow,14.73476,-18.6,247.5356,0,0,0,1,1,1
SwitchBlue (1),-32.16,-19.2,266.5085,0,0,0,1,1,1
Spin,-0.6067047,1.16,-11.3392,0,0,0,1,1,1
NewMoveGround,-2.17,-20.94,256.596,0,0,0,8.361663,1,18.13119,0,4,0,1.2
Iron,0.000295639,1.270187,-95.9641,0,0,0,1,1,1
Wall,-6.584,-13.923,282.264,0,0,0,0.5878923,6.185854,32.30369
Sango (10),-0.05229409,-4.04,217.47,0,0,0,1,1,1
Cube (3),-50.24,-19.706,259.924,0,0,0,9.122727,1.277685,21.44142
BreakWall (6),-0.3669996,3.091,148.9,0,0,0,14.93059,4.740935,1
Wall (1),7.1,4.25,23.83,0,0,0,0.7053433,8.657044,282.0499
Iron,12.96,-17.45,242.0804,0,0,0,1,1,1
SwitchYellow (1),-50.76722,-19.2,237.7596,0,0,0,1,1,1
NewMoveGround (5),-62.8,-16.41,257.9,0,0,0,5.686163,0.9999992,30.49599,0,-4,0,1
NewMoveGround (8),-58.378,-13.31,262.03,0,0,0,0.8102338,0.9999995,5.780806,0,14,0,6
Slope (4),22.43,-18.02,273.84,0,0,26.48509,3.068953,0.369786,2.675891
NewMoveGround,-0.00670433,1.096188,38.4308,0,0,0,22.33497,1.943138,1,0,0,-18,3
Cube (2),0,0,35.322,0,0,0,14.44552,1,39.41233
Cube (1),-52.456,-19.706,232.555,0,0,0,13.55523,1.277685,23.1531
Sango (5),29.66,-17.96,221.3,0,0,0,1,1,1
Cube (5),-49.978,-13.245,261.995,0,0,0,6.926232,0.5107591,7.321744
SwitchBlue,0.3472233,0.4,-84.92139,0,0,0,1,1,1
Wall (7),0.13,4.558,-116.1731,0,0,0,14.45048,8.118931,0.5
BreakWall (5),-0.3669996,3.091,141.3,0,0,0,14.93059,4.740935,1
Sango (2),-37.82656,-18.1,267.2784,0,0,0,1,1,1
NewMoveGround (11),26.99,-18.8,235.26,0,0,0,2.508451,1,1,0,0,5,1
Player,-0.13,2.04,-108.34,0,0,0,1,1,1
Wall (10),13.733,-3.7366,200.223,0,0,0,0.7010839,1.606849,21.20121
Dash (2),-51.42313,-1.104621,260.9417,0,0,0,1,1,1
DoorRed (1),-0.02770424,0.0001869202,-51.2441,0,0,0,14.50134,1,7.102863
Cube (5),9.536743E-07,0,147.756,0,0,0,14.44553,1,27.80539
Wall (13),-7.872,-3.7366,210.23,0,0,0,11.79109,1.606855,0.5
NewMoveGround (2),-29.778,-20.41,228.933,0,0,0,30.47393,0.9999996,7.496966,0,4,0,1
Cube (3),0,0,74.734,0,0,0,14.44552,1,39.41233
DoorBlue,-31.27,-16.493,234.859,0,0,0,12.43263,5.292342,0.7788395
Iron (1),-52.75859,-18,228.9268,0,0,0,1,1,1
Cube (11),13.36,-18.96,248.448,0,0,0,11.04481,0.9999999,27.80272
Wall (14),-1.6259,-3.737,214.177,0,0,0,0.7010839,1.606849,8.40203
SwitchRed,0.3472233,0.4,-92.5641,0,357.52,0,1,1,1
Cube (9),0,0.0001869202,7.573798,0,0,0,14.44555,1,16.08635
Wall (4),28.948,-18.823,276.77,0,0,0,7.023263,1.575955,0.5187383
DoorBlue (1),-31.27,-16.493,260.5,0,0,0,12.43263,5.292342,0.7788395
Cube (4),-36.939,-19.706,267.8,0,0,0,17.47906,1.277685,5.691065
SwitchYellow (1),0.3472233,0.4,-31.0141,0,0,0,1,1,1
Wall (8),18.592,-18,258.375,0,0,0,0.5805476,0.9197205,7.958799
Slope,8.1272,2.09,169.54,343.3969,0,0,1,1,21.11133
Dash,-1.45,-16.62,237.23,0,0,0,1,1,1
Cube,15.308,-18.96,273.897,0,0,0,15.03642,0.9999995,6.273735
NewMoveGround (7),-56.112,-13.31,258.735,0,0,0,5.341984,1,0.8008441,0,14,0,6
Slope (1),-35.041,-0.433,260.63,0,0,22.61637,6.882141,0.3292915,6.104557
BreakWall (2),-0.3669996,3.091,101.9,0,0,0,14.93059,4.740935,1
BreakWall (1),-0.3669996,3.091,75.8,0,0,0,14.93059,4.740935,1
BreakWall,-2.334,-10.98,283.501,0,0,0,6.949559,12.07128,1.979056
BreakWall (7),-0.3669996,3.091,153.7,0,0,0,14.93059,4.740935,1
Ballon (1),19.78,-17.96,225.808,0,0,0,1,1,1
Sango (4),13.78936,-17.96,272.8086,0,0,0,1,1,1
Wall (3),25.151,-18.823,273.86,0,0,0,0.5703952,1.575955,6.339249
BreakWall (4),-0.3669996,3.091,133.2,0,0,0,14.93059,4.740935,1
Cube (7),-62.228,-19.567,237.802,0,0,0,5.988935,0.9999995,7.523293
Slope,0.1680002,1.336187,170.3308,343.3969,0,0,16.91853,1,22.90883
