ID,PosX,PosY,PosZ,RotX,RotY,Rotz,ScaleX,ScaleY,ScaleZ
Cube (2),13.05,1,18.073,0,90,0,2.349294,1,10.91717
Wall (1),7.6277,2.0107,-0.687,0,0,0,0.5033605,1.02134,7.5577
Cube (5),13.053,1,25.144,0,90,0,6.872133,1,5.264036
NewHermitCrab,12.95,3.27,12.05053,0,0,0,1,1,1
Sango (1),2.21,2,14.77,0,90,0,1,1,1
Wall (5),13.122,2.0107,18.832,0,0,0,5.113279,1.02134,0.8307348
Wall (7),10.098,2.0107,21.85,0,0,0,0.8495552,1.02134,6.864572
Sango (2),24.63,2,15.39,0,90,0,1,1,1
DeadZone,12.89,0,12.26,0,90,0,44.90938,0.999999,41.88356
HermitCrab,7.63,3.500001,13.9,0,0,0,1,1,1
Cube,13.09,1,10.085,0,90,0,13.62712,1,25.95902
Wall (4),22.1,2.01,14.22,0,0,0,0.8775448,1.02134,5.281781
HermitCrab (1),19.13,3.500001,13.9,0,0,0,1,1,1
Wall (6),16.06,2.0107,21.78,0,0,0,0.8495548,1.02134,6.722706
Sango,13,2,23.02,0,90,0,1,1,1
Temp,12.25,2,-0.9,0,0,0,1,1,1
Wall (3),4,2.01,14.22,0,0,0,0.8775448,1.02134,5.281781
Cube (4),17.1,1,23.913,0,90,0,9.332029,1,2.829817
Player,12.32,2.22,-0.82,0,0,0,1,1,1
Iron,12.24,2,1.58,0,90,0,1,1,1
Wall,12.943,2.0107,-4.7158,0,0,0,11.13389,1.021342,0.5
Wall (2),18.21,2.0107,-0.687,0,0,0,0.5033605,1.02134,7.5577
Cube (1),12.9,1,-0.847,0,90,0,8.23764,1,11.21952
Cube (3),9.0063,1,23.913,0,90,0,9.332029,1,2.829817
