ID,PosX,PosY,PosZ,RotX,RotY,Rotz,ScaleX,ScaleY,ScaleZ
Wall (10),2.9234,1.1151,51.958,0,0,0,11.4621,1.230172,0.5
Wall (6),-13.853,1.1151,26.359,0,0,0,0.5642768,1.230169,30.84905
DoorRed,2.929,3.047,7.16,0,0,0,9.794256,5.094506,1
Wall (5),2.625,1.1151,33.928,0,0,0,10.85481,1.230172,0.5
Sango (3),-8.14,2.84,57.91,0,0,0,1,1,1
Dash,0.03,0.9999993,14.98091,0,0,0,1,1,1
SwitchRed,2.965283,0.43,2.21,0,0,0,1,0.5,1
DoorYellow,-8.116,3.265,41.49,0,0,0,10.78408,6.53014,1
DeadZone,-1.22,-4,31.46,0,0,0,41.85632,0.9999985,92.10543
Wall (2),8.3721,1.1151,8.994,0,0,0,0.5642768,1.230169,30.25557
Sango (1),5.18,1.04,15.22,0,0,0,1,1,1
Slope,-7.964,1.665,45.678,338.6435,0,0,5.558863,0.5807407,7.885282
SwitchBlue,4.505471,0.39,30.74406,0,0,0,1,0.5,1
Wall (4),-2.52,1.1151,27.011,0,0,0,0.5642769,1.230169,13.33168
Cube,2.957,0,5.183,0,0,0,11.39488,0.9999986,23.63271
Wall (11),-8.065,2.6983,63.347,0,0,0,7.553916,1.230172,0.5
Wall (12),-4.58,2.6983,59.672,0,0,0,0.5838411,1.23017,6.850536
DoorBlue,-8.11,2.583,27.84,0,0,0,10.61661,4.166661,1
Wall (7),-8.186,1.1151,11.184,0,0,0,10.77159,1.230172,0.5
Player,3.286036,1.499999,-3.15,0,0,0,1,1,1
Cube (2),-8.4379,0,26.417,0,0,0,11.39489,0.9999986,30.96609
Wall (9),-2.517,1.1151,46.5,0,0,0,0.5642769,1.230169,10.43325
Sango (4),-7.67,0.9999993,35.89,0,0,0,1,1,1
Sango (2),1.360318,0.9999993,45.34132,0,0,0,1,1,1
Iron,5.37921,0.9999993,1.069786,0,0,0,1,1,1
Wall (1),-2.52,1.1151,2.692,0,0,0,0.5642769,1.230169,17.64977
Wall (13),-11.55,2.6983,59.672,0,0,0,0.5838411,1.23017,6.850536
Wall,2.926,1.1151,-6.3834,0,0,0,11.45646,1.230172,0.5
Wall (3),8.3721,1.1151,37.925,0,0,0,0.5642768,1.230169,27.60381
Sango,0.38,1.04,31.17791,0,0,0,1,1,1
SwitchYellow,2.936855,0.4,49.98,0,0,0,1,0.5,1
Cube (3),-8.086,1.786,59.88,0,0,0,7.596382,0.594352,7.434586
BreakWall,2.865,2.904,21.27,0,0,0,10.20524,4.808063,1
Cube (1),2.957,0,34.604,0,0,0,11.39489,0.9999985,35.20728
