ID,PosX,PosY,PosZ,RotX,RotY,Rotz,ScaleX,ScaleY,ScaleZ
InvisibleWall (4),-6.537,24.14,12.91,0,0,0,-64.92358,1.423693,81.65869
InvisibleWall (3),-37.7,6.9,12.91,0,0,0,-2.59817,35.91814,81.65862
InvisibleWall (2),25.3,6.9,12.91,0,0,0,-2.59817,35.91814,81.65862
InvisibleWall (1),-6.662,6.91,48.7,0,0,0,68.09369,35.9182,1
InvisibleWall,-6.662,6.91,-23.7896,0,0,0,68.09369,35.9182,1
DeadZone,-6.41,-11.55,18.2,0,0,0,69.14365,0.9999942,86.53784
Slope (9),-31.38851,-3.830012,35.27372,-3.415095E-06,270.0002,215.0461,0.5294826,3.291823,0.5379263
Cube (5),-21.329,-6.59,37.016,0,0,0,12.65706,0.9999991,8.075444
NewMoveGround (1),-27.284,-7.59,30.608,0,0,0,0.7467151,0.9999996,4.740559,0,10,0,5
NewMoveGround (3),-19.99,2.59,30.608,0,0,0,4.947332,0.9999996,4.740559,0,-10,0,5
Player,1.656042,9.5,-6.98,0,0,0,1,1,1
Wall (5),-24.07986,-4.464,21.36287,0,0,0,10,7.90795,0.5
Slope (10),-24.21075,-4.37937,21.93853,0.0003206948,180,180.0901,0.7603686,5.868614,0.6512934
Cube (1),0.95,-6.59,37.296,0,0,0,18.19847,0.9999991,7.516297
Wall (12),0.728,-5.4888,40.653,0,0,0,17.36233,1.202412,0.8392616
NewMoveGround (5),-17.89,3.59,30.608,0,0,0,0.7467151,0.9999996,4.740559,0,-10,0,5
Slope (7),-31.332,-2.586615,37.43777,3.415095E-06,270.0002,270.09,0.7603686,5.868614,0.6512934
Slope (2),0.2799997,8.954,15.058,0,0,55.04351,0.5294826,3.291823,0.5948985
Slope (12),-22.96734,-2.215323,21.88202,0.0003253874,180,125.0462,0.5294826,3.291823,0.5379263
Slope (5),-0.4970069,-1.009988,53.848,0,0,325.1335,0.5294826,3.291823,0.5948985
Temp,1.58,9.94,-6.8,0,0,0,1,1,1
Wall (8),-31.925,-2.768,37.221,0,0,0,1.193826,6.063887,7.430833
Wall (2),-6.74,8.02,-2.1718,0,0,0,0.6405111,1.202412,13.34479
Sango (1),6.20491,-5.590001,36.73652,0,0,0,1,1,1
Wall (14),-27.236,-5.4888,36.706,0,0,0,0.7413031,1.202411,7.018331
Slope (11),-25.33735,-2.221603,21.91053,0.0003223475,180,235.1337,0.5294826,3.291823,0.5948985
Slope (1),1.41,11.11,15.03,0,0,0,0.7603686,5.868614,0.6512934
Slope,0.17,-7.7303,30.333,336.131,0,0,9.419051,0.406484,7.188664
Wall (13),-21.304,-5.4888,40.635,0,0,0,12.60627,1.202412,0.8392616
Slope (6),-0.5032899,-3.38,53.8765,0,0,215.0461,0.5294826,3.291823,0.5379263
NewMoveGround (2),-23.084,-7.59,30.608,0,0,0,0.7467151,0.9999996,4.740559,0,10,0,5
Wall,2.0353,8.02,-9.0942,0,0,0,18.19116,1.202414,0.5
Spin,-1.423263,-5.590001,36.34677,0,0,0,1,1,1
Wall (6),9.729,-8.38,15.54,0,0,0,0.6405117,1.202412,24.41442
Wall (11),9.729,-5.488801,37.305,0,0,0,0.6405117,1.202412,7.5355
Sango (2),-23.2844,-5.590001,37.84452,0,0,0,1,1,1
Slope (8),-31.36,-1.46,35.28,-1.707547E-06,270.0002,325.1335,0.5294826,3.291823,0.5948985
Slope (3),2.65,8.943999,15.0865,0,0,304.956,0.5294826,3.291823,0.5379263
Sango,3.12,-8.36,16.77,0,0,0,1,1,1
Cube,2.0323,6.9188,-2.232,0,0,0,18.19847,0.9999991,14.22447
Sango (3),-22.32386,1.87,22.8551,0,0,0,1,1,1
Wall (7),-7.8216,-8.379999,15.341,0,0,0,0.6405117,1.202412,24.01538
Cube (3),0.95,-9.4812,15.617,0,0,0,18.19848,0.999999,24.56746
Wall (3),1.738,7.561934,15.605,0,0,0,32.29479,13.78287,0.5
Slope (4),1.660763,-2.136603,53.82,0,0,270.09,0.7603686,5.868614,0.6512934
Wall (4),1.213,-2.659066,54.395,0,0,0,10.69327,8.564922,0.5
NewMoveGround,-25.184,-8.59,30.608,0,0,0,4.947332,0.9999996,4.740559,0,10,0,5
Wall (1),10.8106,8.02,-2.061,0,0,0,0.6405111,1.202412,13.56653
NewMoveGround (4),-22.09,3.59,30.608,0,0,0,0.7467151,0.9999996,4.740559,0,-10,0,5
Cube (6),-22.14,0.87,24.2,0,0,0,12.65706,0.9999991,8.075444
